Name,Slide Number,Animal,Group,Sex,Section,Section-Slice,BrainArea,BrainAreaComp,Program,ROI,Name,Slide Number,Animal,Group,Sex,Section,Section-Slice,BrainArea,BrainAreaComp,Program,,ROI_1_Blank_Area,ROI_1_HScore_1,ROI_1_HScore_2,ROI_1_Heme_Area,ROI_1_MAP2_Area,ROI_1_Total_Area,Per_Heme,Per_Map,Ratio,Tissue_Gaps,Gap_Adj
Image_3279,3279,1221,L/H,M,α05,5,A1-3,A1,2024-03-11-Map2,ROI_1,Image_3279,3279,1221,L/H,M,α05,5,A1-3,2024-03-11-Map2,,TRUE,2178311.218,115.801758,146.4338598,3188521.112,5351493.844,10718326.17,37.3362474,62.6637526,0.595818888,20.32324062,25.50711246
Image_3680,3680,1893,N,F,α05,5,A1-3,A1,2024-03-11-Map2,ROI_1,Image_3680,3680,1893,N,F,α05,5,A1-3,2024-03-11-Map2,,TRUE,1241972.645,102.0844131,174.2862948,14256658.66,25744683.42,41243314.73,35.64045084,64.35954916,0.553770984,3.011330814,3.104827439
Image_3850,3850,1221,L/H,M,β02,2,A4-5,A4,2024-03-11-Map2,ROI_1,Image_3850,3850,1221,L/H,M,β02,2,A4-5,2024-03-11-Map2,,TRUE,3352725.993,209.3257802,206.5215221,25920934.41,673053.216,29946713.62,,,,,
Image_4111(3),4111,1221,L/H,M,01A,1,A1,A1,2024-03-11-Map2,ROI_1,Image_4111(3),4111,1221,L/H,M,01A,1,A1,2024-03-11-Map2,,TRUE,2045321.35,118.1012089,153.9632649,4179774.48,5818723.232,12043819.06,41.80402497,58.19597503,0.718331894,16.9823321,20.45628663
Image_4202,4202,1893,N,F,β05,5,A4-5,A4,2024-03-11-Map2,ROI_1,Image_4202,4202,1893,N,F,β05,5,A4-5,2024-03-11-Map2,,TRUE,804773.5066,99.84425826,158.1973386,2287987.073,7960981.58,11053742.16,22.32407134,77.67592866,0.287400122,7.280552549,7.852238931
Image_4242(1_2),4242,1886,N,M,β03,3,A4-5,A4,2024-03-11-Map2,ROI_1,Image_4242(1_2),4242,1886,RV 10,M,β03,3,A4-5,2024-03-11-Map2,,TRUE,1283633.695,123.6668588,182.8189693,16939358.02,21175156.91,39398148.62,44.44332572,55.55667428,0.799963754,3.258106637,3.367834269
1821.03O_-_,3055,1821,S/H,M,03O,3,A3,A3,2024-04-01-Map2,ROI_2,1821.03O_-_,3055,1821,S/H,M,03O,3,A3,2024-04-01-Map2,,TRUE,6382569.709,102.837442,126.5731812,2888433.113,29393307.4,38664310.22,8.947575525,91.05242447,0.098268394,16.50765182,19.77145472
Image_4532(2_3),4532,1221,L/H,M,03A,3,A3,A3,2024-03-11-Map2,ROI_1,Image_4532(2_3),4532,1221,L/H,M,03A,3,A3,2024-03-11-Map2,,TRUE,2838239.036,111.8950402,156.8742066,9723433.381,13761375.32,26323047.73,41.4030768,58.5969232,0.706574246,10.78233442,12.0854254
Image_4616(2),4616,1221,L/H,M,05A,5,A5,A5,2024-03-11-Map2,ROI_1,Image_4616(2),4616,1221,L/H,M,05A,5,A5,2024-03-11-Map2,,TRUE,2447306.357,110.2338254,138.9032272,6734490.547,11985605.43,21167402.34,35.97465822,64.02534178,0.561881549,11.56167544,13.07315069
Image_4833(2),4833,1221,L/H,M,04A,4,A4,A4,2024-03-11-Map2,ROI_1,Image_4833(2),4833,1221,L/H,M,04A,4,A4,2024-03-11-Map2,,TRUE,3263258.463,150.2259829,167.4239876,15838083.53,7033181.245,26134523.24,69.24883117,30.75116883,2.251908913,12.48638987,14.26794056
Image_4913(2_3),4913,1221,L/H,M,02A,2,A2,A2,2024-03-11-Map2,ROI_1,Image_4913(2_3),4913,1221,L/H,M,02A,2,A2,2024-03-11-Map2,,TRUE,3200136.486,115.7752942,158.1106894,7535312.796,9894525.505,20629974.79,43.23225876,56.76774124,0.761563836,15.51207172,18.36010427
1821.03P_-_,3368,1821,S/H,M,03P,3,A3,A3,2024-04-01-Map2,ROI_3,1821.03P_-_,3368,1821,S/H,M,03P,3,A3,2024-04-01-Map2,,TRUE,4075058.089,110.9223238,129.2240357,2920766.093,29008286.22,36004110.4,9.147675491,90.85232451,0.100687303,11.3183135,12.76285325
