Sample Number,Read Concentration (mg/ml),Read Concentration (ug/ml),Grp,Time,Sex,IL-18,IL-18-R2,IL-1b,IL-6,IL-10,TNF-a
9109,17.32618183,17326.18183,RV (P7),96 HR,F,13560.69269,,,,,
9110,16.28846846,16288.46846,Naïve,48 HR,M,13040.992,,,,,
9111,13.02005952,13020.05952,Naïve,48 HR,M,17597.91552,,,,,
9112,13.66183736,13661.83736,Naïve,48 HR,F,16934.3429,,,,,
9113,17.68071234,17680.71234,L/H,24 HR,M,21966.92467,,,,,
9114,12.0236589,12023.6589,L/H,24 HR,M,17028.30008,,,,,
9115,12.80467224,12804.67224,L/H,96 HR,M,14967.11432,,,,,
9116,14.06538203,14065.38203,L/H,96 HR,F,15812.72899,,,,,
9117,13.2843687,13284.3687,Naïve,96 HR,F,20283.66773,,,,,
9118,12.41657611,12416.57611,RV (P10),96 HR,M,16712.27032,,,,,
9119,14.38598319,14385.98319,L/H,48 HR,F,13375.18681,,,,,
9120,14.53784689,14537.84689,L/H,48 HR,M,11353.28458,,,,,
9121,15.31803825,15318.03825,S/H,24 HR,M,12369.90458,,,,,
