Sample Number,Read Concentration (mg/ml),Read Concentration (ug/ml),Grp,Time,Sex,IL-18,IL-18-R2,IL-1b,IL-6,IL-10,TNF-a
9081,12.00172059,12001.72059,Naïve,24 HR,F,17317.51204,,,,,
9082,10.73980244,10739.80244,RV (P10),24 HR,F,19484.39965,,,,,
9083,11.65535141,11655.35141,RV (P10),48 HR,F,14946.56118,17460.44711,,,,
9084,14.20146877,14201.46877,RV (P10),96 HR,F,14429.79666,,,,,
9085,10.46027643,10460.27643,Naïve,96 HR,F,15685.00594,,,,,
9086,10.59801388,10598.01388,RV (P10),24 HR,M,18922.12461,,,,,
9087,10.58586058,10585.86058,RV (P10),48 HR,M,16947.55563,17625.72691,,,,
9088,12.04223161,12042.23161,RV (P7),96 HR,M,15523.51703,,,,,
9089,11.91867301,11918.67301,RV (P7),96 HR,M,18992.5925,,,,,
9090,15.1595543,15159.5543,RV (P10),24 HR,M,14347.58412,,,,,
9091,12.44038921,12440.38921,RV (P10),96 HR,M,12042.6969,,,,,
9092,12.28253256,12282.53256,RV (P10),24 HR,F,31502.11096,,,,,
9093,9.078818962,9078.818962,RV (P10),96 HR,F,16379.40827,16232.52396,,,,
9094,15.13689128,15136.89128,S/H,24 HR,F,17395.32034,,,,,
9095,17.55390946,17553.90946,S/H,24 HR,M,12264.37714,,,,,
9096,19.13765156,19137.65156,RV (P10),96 HR,M,11600.80451,,,,,
9097,14.36313493,14363.13493,RV (P7),24 HR,M,16746.42852,,,,,
9098,12.31617414,12316.17414,RV (P7),48 HR,M,16913.78976,,,,,
9099,14.62191632,14621.91632,RV (P10),48 HR,M,12600.56769,,,,,
9100,11.01967938,11019.67938,RV (P10),48 HR,F,21128.6504,,,,,
9101,13.16756491,13167.56491,S/H,96 HR,F,13562.16077,11484.27729,,,,
9102,13.41858286,13418.58286,S/H,96 HR,M,13146.69384,,,,,
9103,12.70952185,12709.52185,RV (P10),96 HR,F,18311.4029,,,,,
9104,18.3820099,18382.0099,RV (P10),48 HR,F,11840.10172,,,,,
9105,11.97199489,11971.99489,RV (P10),96 HR,M,19816.18596,,,,,
