R0001,GFAP,0,25.07,,,Variant,Number,Sample,Time,,Class,Group,0,Average,0.1,0.2,0.3,0.4,0.5,0.6,Average,DeltaCq,DeltaDeltaCt,DeltaDeltaCt-SH,FoldChange,FoldChange-SH,,DeltaCqExp,DeltaCqExp,,FoldChange-N,FoldChange-SH,,,,,,,,,
R0026,GFAP,0,29.06,,,0.4,20,R0020,24,L/H,L/H 24 HR,Treatment 1,27.21,27.21,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0026,IL-1B,0.1,35.48,,,0,21,R0021,24,L/H,L/H 24 HR,Treatment 1,31.19,31.19,35.3,35.25,35.4,,,,35.31666667,4.126666667,3.785557,3.825568142,0.072515992,0.070532494,,0.057246581,0.057246581,,5.528632809,4.839128991,,,,,,,,,
R0026,IL-1B,0.2,36.08,,,0.1,21,R0021,24,L/H,L/H 24 HR,Treatment 1,31.19,31.19,35.3,35.3,35.3,,,,35.3,4.11,3.768890333,3.808901475,0.073358587,0.071352042,,0.057911754,0.057911754,,5.592872428,4.895356961,,,,,,,,,
R0026,IL-1B,0.3,35.76,,,0.2,21,R0021,24,L/H,L/H 24 HR,Treatment 1,31.19,31.19,35.25,35.25,35.25,,,,35.25,4.06,3.718890333,3.758901475,0.075945572,0.073868266,,0.059954007,0.059954007,,5.790104648,5.067991352,,,,,,,,,
R0027,GFAP,0,31.42,,,0.3,21,R0021,24,L/H,L/H 24 HR,Treatment 1,31.19,31.19,35.4,35.4,35.4,,,,35.4,4.21,3.868890333,3.908901475,0.068445982,0.066573809,,0.054033577,0.054033577,,5.218334493,4.56752955,,,,,,,,,
R0027,IL-1B,0.1,35.01,,,0.4,21,R0021,24,L/H,L/H 24 HR,Treatment 1,31.19,31.19,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0027,IL-1B,0.2,35.1,,,0,22,R0022,96,L/H,L/H 96 HR,Treatment 3,28.87,28.87,34.64,35.13,35.22,,,,34.99666667,6.126666667,6.126666667,6.126666667,0.014311645,0.014311645,,0.014311645,0.014311645,,0.01263036,0.622386643,,,,,,,,,
R0027,IL-1B,0.3,35.26,,,0.1,22,R0022,96,L/H,L/H 96 HR,Treatment 3,28.87,28.87,34.64,34.64,34.64,,,,34.64,5.77,5.77,5.77,0.018325546,0.018325546,,0.018325546,0.018325546,,0.016172721,0.796943676,,,,,,,,,
R0028,GFAP,0,29.03,,,0.2,22,R0022,96,L/H,L/H 96 HR,Treatment 3,28.87,28.87,35.13,35.13,35.13,,,,35.13,6.26,6.26,6.26,0.013048249,0.013048249,,0.013048249,0.013048249,,0.011515383,0.567443899,,,,,,,,,
R0028,IL-1B,0.1,34.64,,,0.3,22,R0022,96,L/H,L/H 96 HR,Treatment 3,28.87,28.87,35.22,35.22,35.22,,,,35.22,6.35,6.35,6.35,0.012259127,0.012259127,,0.012259127,0.012259127,,0.010818965,0.533126452,,,,,,,,,
R0028,IL-1B,0.2,35.27,,,0.4,22,R0022,96,L/H,L/H 96 HR,Treatment 3,28.87,28.87,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0028,IL-1B,0.3,34.67,,,0,23,R0023,96,L/H,L/H 96 HR,Treatment 3,29.62,29.62,35.42,35.93,35.35,,,,35.56666667,5.946666667,5.946666667,5.946666667,0.016213432,0.016213432,,0.016213432,0.016213432,,0.014308731,0.705091798,,,,,,,,,
R0029,GFAP,0,28.23,,,0.1,23,R0023,96,L/H,L/H 96 HR,Treatment 3,29.62,29.62,35.42,35.42,35.42,,,,35.42,5.8,5.8,5.8,0.017948412,0.017948412,,0.017948412,0.017948412,,0.015839891,0.780542813,,,,,,,,,
R0029,IL-1B,0.1,35.23,,,0.2,23,R0023,96,L/H,L/H 96 HR,Treatment 3,29.62,29.62,35.93,35.93,35.93,,,,35.93,6.31,6.31,6.31,0.012603777,0.012603777,,0.012603777,0.012603777,,0.011123127,0.548114677,,,,,,,,,
R0029,IL-1B,0.2,35.96,,,0.3,23,R0023,96,L/H,L/H 96 HR,Treatment 3,29.62,29.62,35.35,35.35,35.35,,,,35.35,5.73,5.73,5.73,0.018840747,0.018840747,,0.018840747,0.018840747,,0.016627398,0.819348813,,,,,,,,,
R0029,IL-1B,0.3,35.63,,,0.4,23,R0023,96,L/H,L/H 96 HR,Treatment 3,29.62,29.62,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0030,GFAP,0,30.05,,,0,24,R0024,24,S/H,S/H 24 HR,Treatment 1,31.79,31.79,35.22,35.21,34.86,,,,35.09666667,,,,,,,,,,,,,,,,,,,,
R0030,IL-1B,0.1,34.81,,,0.1,24,R0024,24,S/H,S/H 24 HR,Treatment 1,31.79,31.79,35.22,35.22,35.22,,,,35.22,,,,,,,,,,,,,,,,,,,,
R0030,IL-1B,0.2,35.88,,,0.2,24,R0024,24,S/H,S/H 24 HR,Treatment 1,31.79,31.79,35.21,35.21,35.21,,,,35.21,,,,,,,,,,,,,,,,,,,,
R0030,IL-1B,0.3,37.03,,,0.3,24,R0024,24,S/H,S/H 24 HR,Treatment 1,31.79,31.79,34.86,34.86,34.86,,,,34.86,,,,,,,,,,,,,,,,,,,,
R0031,GFAP,0,27.65,,,0.4,24,R0024,24,S/H,S/H 24 HR,Treatment 1,31.79,31.79,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0031,IL-1B,0.1,35.15,,,0,25,R0025,24,S/H,S/H 24 HR,Treatment 1,29.89,29.89,35.57,35.54,35.25,,,,35.45333333,5.563333333,5.222223667,5.262234808,0.026788848,0.026056104,,0.021148024,0.021148024,,2.042386759,1.787670355,,,,,,,,,
R0031,IL-1B,0.2,35.45,,,0.1,25,R0025,24,S/H,S/H 24 HR,Treatment 1,29.89,29.89,35.57,35.57,35.57,,,,35.57,5.68,5.338890333,5.378901475,0.024707788,0.024031967,,0.019505165,0.019505165,,1.883726381,1.648797317,,,,,,,,,
R0031,IL-1B,0.3,35.59,,,0.2,25,R0025,24,S/H,S/H 24 HR,Treatment 1,29.89,29.89,35.54,35.54,35.54,,,,35.54,5.65,5.308890333,5.348901475,0.025226951,0.024536929,,0.01991501,0.01991501,,1.923307477,1.683442054,,,,,,,,,
R0032,GFAP,0,27.54,,,0.3,25,R0025,24,S/H,S/H 24 HR,Treatment 1,29.89,29.89,35.25,35.25,35.25,,,,35.25,5.36,5.018890333,5.058901475,0.030843487,0.029999838,,0.024348893,0.024348893,,2.351513188,2.05824406,,,,,,,,,
R0032,IL-1B,0.1,35.79,,,0.4,25,R0025,24,S/H,S/H 24 HR,Treatment 1,29.89,29.89,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0032,IL-1B,0.2,35.55,,,0,26,R0026,96,S/H,S/H 96 HR,Treatment 3,29.06,29.06,35.48,36.08,35.76,,,,35.77333333,6.713333333,6.713333333,6.713333333,0.009529833,0.009529833,,0.009529833,0.009529833,,0.0084103,0.414434594,,,,,,,,,
R0032,IL-1B,0.3,36.18,,,0.1,26,R0026,96,S/H,S/H 96 HR,Treatment 3,29.06,29.06,35.48,35.48,35.48,,,,35.48,6.42,6.42,6.42,0.01167851,0.01167851,,0.01167851,0.01167851,,0.010306557,0.507876516,,,,,,,,,
R0033,GFAP,0,30.53,,,0.2,26,R0026,96,S/H,S/H 96 HR,Treatment 3,29.06,29.06,36.08,36.08,36.08,,,,36.08,7.02,7.02,7.02,0.007704943,0.007704943,,0.007704943,0.007704943,,0.006799792,0.33507354,,,,,,,,,
R0033,IL-1B,0.1,34.71,,,0.3,26,R0026,96,S/H,S/H 96 HR,Treatment 3,29.06,29.06,35.76,35.76,35.76,,,,35.76,6.7,6.7,6.7,0.009618316,0.009618316,,0.009618316,0.009618316,,0.008488388,0.418282536,,,,,,,,,
R0033,IL-1B,0.2,34.6,,,0.4,26,R0026,96,S/H,S/H 96 HR,Treatment 3,29.06,29.06,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0033,IL-1B,0.3,34.77,,,0,27,R0027,96,S/H,S/H 96 HR,Treatment 3,31.42,31.42,35.01,35.1,35.26,,,,35.12333333,3.703333333,3.703333333,3.703333333,0.076768947,0.076768947,,0.076768947,0.076768947,,0.067750383,3.338537713,,,,,,,,,
R0034,GFAP,0,27.64,,,0.1,27,R0027,96,S/H,S/H 96 HR,Treatment 3,31.42,31.42,35.01,35.01,35.01,,,,35.01,3.59,3.59,3.59,0.083042863,0.083042863,,0.083042863,0.083042863,,0.073287261,3.611378593,,,,,,,,,
R0034,IL-1B,0.1,33.67,,,0.2,27,R0027,96,S/H,S/H 96 HR,Treatment 3,31.42,31.42,35.1,35.1,35.1,,,,35.1,3.68,3.68,3.68,0.078020659,0.078020659,,0.078020659,0.078020659,,0.068855049,3.392972344,,,,,,,,,
R0034,IL-1B,0.2,33.7,,,0.3,27,R0027,96,S/H,S/H 96 HR,Treatment 3,31.42,31.42,35.26,35.26,35.26,,,,35.26,3.84,3.84,3.84,0.069830446,0.069830446,,0.069830446,0.069830446,,0.061626995,3.036795313,,,,,,,,,
R0034,IL-1B,0.3,33.31,,,0.4,27,R0027,96,S/H,S/H 96 HR,Treatment 3,31.42,31.42,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0035,GFAP,0,38.02,,,0,28,R0028,96,S/H,S/H 96 HR,Treatment 3,29.03,29.03,34.64,35.27,34.67,,,,34.86,5.83,5.83,5.83,0.017579039,0.017579039,,0.017579039,0.017579039,,0.015513911,0.764479474,,,,,,,,,
R0035,IL-1B,0.1,35.74,,,0.1,28,R0028,96,S/H,S/H 96 HR,Treatment 3,29.03,29.03,34.64,34.64,34.64,,,,34.64,5.61,5.61,5.61,0.020474897,0.020474897,,0.020474897,0.020474897,,0.018069573,0.890414919,,,,,,,,,
R0035,IL-1B,0.2,35.43,,,0.2,28,R0028,96,S/H,S/H 96 HR,Treatment 3,29.03,29.03,35.27,35.27,35.27,,,,35.27,6.24,6.24,6.24,0.013230396,0.013230396,,0.013230396,0.013230396,,0.011676132,0.575365121,,,,,,,,,
R0035,IL-1B,0.3,34.82,,,0.3,28,R0028,96,S/H,S/H 96 HR,Treatment 3,29.03,29.03,34.67,34.67,34.67,,,,34.67,5.64,5.64,5.64,0.02005353,0.02005353,,0.02005353,0.02005353,,0.017697707,0.872090445,,,,,,,,,
R0036,GFAP,0,30.05,,,0.4,28,R0028,96,S/H,S/H 96 HR,Treatment 3,29.03,29.03,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0036,IL-1B,0.1,34.46,,,0,29,R0029,24,N,N 24 HR,Control 1,28.23,28.23,35.23,35.96,35.63,,,,35.60666667,7.376666667,7.035557,7.075568142,0.007622305,0.007413815,,0.006017306,0.006017306,,0.581125939,0.508650778,,,,,,,,,
R0036,IL-1B,0.2,35.48,,,0.1,29,R0029,24,N,N 24 HR,Control 1,28.23,28.23,35.23,35.23,35.23,,,,35.23,7,6.658890333,6.698901475,0.009896332,0.009625642,,0.0078125,0.0078125,,0.754498231,0.660400933,,,,,,,,,
R0036,IL-1B,0.3,34.15,,,0.2,29,R0029,24,N,N 24 HR,Control 1,28.23,28.23,35.96,35.96,35.96,,,,35.96,7.73,7.388890333,7.428901475,0.005966538,0.005803337,,0.004710187,0.004710187,,0.454889936,0.398158307,,,,,,,,,
R0037,GFAP,0,27.92,,,0.3,29,R0029,24,N,N 24 HR,Control 1,28.23,28.23,35.63,35.63,35.63,,,,35.63,7.4,7.058890333,7.098901475,0.007500017,0.007294873,,0.005920768,0.005920768,,0.571802734,0.500490317,,,,,,,,,
R0037,IL-1B,0.1,34.31,,,0.4,29,R0029,24,N,N 24 HR,Control 1,28.23,28.23,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0037,IL-1B,0.2,34.66,,,0,30,R0030,24,N,N 24 HR,Control 1,30.05,30.05,34.81,35.88,37.03,,,,35.90666667,5.856666667,5.515557,5.555568142,0.021860088,0.021262158,,0.017257094,0.017257094,,1.666617179,1.458764904,,,,,,,,,
R0037,IL-1B,0.3,34.31,,,0.1,30,R0030,24,N,N 24 HR,Control 1,30.05,30.05,34.81,34.81,34.81,,,,34.81,4.76,4.418890333,4.458901475,0.046749984,0.045471252,,0.036906021,0.036906021,,3.564227495,3.11971462,,,,,,,,,
R0038,GFAP,0,29.97,,,0.2,30,R0030,24,N,N 24 HR,Control 1,30.05,30.05,35.88,35.88,35.88,,,,35.88,5.83,5.488890333,5.528901475,0.022267905,0.021658821,,0.017579039,0.017579039,,1.697709273,1.485979345,,,,,,,,,
R0038,IL-1B,0.1,34.54,,,0.3,30,R0030,24,N,N 24 HR,Control 1,30.05,30.05,37.03,37.03,37.03,,,,37.03,6.98,6.638890333,6.678901475,0.01003448,0.009760011,,0.007921558,0.007921558,,0.765030634,0.669619786,,,,,,,,,
R0038,IL-1B,0.2,33.63,,,0.4,30,R0030,24,N,N 24 HR,Control 1,30.05,30.05,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0038,IL-1B,0.3,33.05,,,0,31,R0031,24,N,N 24 HR,Control 1,27.65,27.65,35.15,35.45,35.59,,,,35.39666667,7.746666667,7.405557,7.445568142,0.005898006,0.00573668,,0.004656086,0.004656086,,0.44966508,0.393585069,,,,,,,,,
R0039,GFAP,0,29.08,,,0.1,31,R0031,24,N,N 24 HR,Control 1,27.65,27.65,35.15,35.15,35.15,,,,35.15,7.5,7.158890333,7.198901475,0.006997764,0.006806357,,0.005524272,0.005524272,,0.533510815,0.466973978,,,,,,,,,
R0039,IL-1B,0.1,34.09,,,0.2,31,R0031,24,N,N 24 HR,Control 1,27.65,27.65,35.45,35.45,35.45,,,,35.45,7.8,7.458890333,7.498901475,0.00568395,0.00552848,,0.004487103,0.004487103,,0.433345438,0.379300732,,,,,,,,,
R0039,IL-1B,0.2,34.59,,,0.3,31,R0031,24,N,N 24 HR,Control 1,27.65,27.65,35.59,35.59,35.59,,,,35.59,7.94,7.598890333,7.638901475,0.005158294,0.005017201,,0.004072132,0.004072132,,0.393269286,0.34422268,,,,,,,,,
R0039,IL-1B,0.3,35.21,,,0.4,31,R0031,24,N,N 24 HR,Control 1,27.65,27.65,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0040,GFAP,0,27.44,,,0,32,R0032,24,N,N 24 HR,Control 1,27.54,27.54,35.79,35.55,36.18,,,,35.84,8.3,7.958890333,7.998901475,0.00401916,0.003909226,,0.003172861,0.003172861,,0.306421498,0.26820612,,,,,,,,,
R0040,IL-1B,0.1,34.74,,,0.1,32,R0032,24,N,N 24 HR,Control 1,27.54,27.54,35.79,35.79,35.79,,,,35.79,8.25,7.908890333,7.948901475,0.004160895,0.004047084,,0.003284752,0.003284752,,0.317227429,0.277664388,,,,,,,,,
R0040,IL-1B,0.2,35,,,0.2,32,R0032,24,N,N 24 HR,Control 1,27.54,27.54,35.55,35.55,35.55,,,,35.55,8.01,7.668890333,7.708901475,0.004913987,0.004779577,,0.003879268,0.003879268,,0.374643265,0.327919605,,,,,,,,,
R0040,IL-1B,0.3,34.7,,,0.3,32,R0032,24,N,N 24 HR,Control 1,27.54,27.54,36.18,36.18,36.18,,,,36.18,8.64,8.298890333,8.338901475,0.003175302,0.00308845,,0.002506691,0.002506691,,0.242085642,0.211893915,,,,,,,,,
R0041,GFAP,0,37.36,,,0.4,32,R0032,24,N,N 24 HR,Control 1,27.54,27.54,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0041,IL-1B,0.1,35.1,,,0,33,R0033,96,N,N 96 HR,Control 3,30.53,30.53,34.71,34.6,34.77,,,,34.69333333,4.163333333,4.163333333,4.163333333,0.055809969,0.055809969,,0.055809969,0.055809969,,0.049253598,2.427071042,,,,,,,,,
R0041,IL-1B,0.2,34.88,,,0.1,33,R0033,96,N,N 96 HR,Control 3,30.53,30.53,34.71,34.71,34.71,,,,34.71,4.18,4.18,4.18,0.055168937,0.055168937,,0.055168937,0.055168937,,0.048687872,2.399193753,,,,,,,,,
R0041,IL-1B,0.3,34.91,,,0.2,33,R0033,96,N,N 96 HR,Control 3,30.53,30.53,34.6,34.6,34.6,,,,34.6,4.07,4.07,4.07,0.059539875,0.059539875,,0.059539875,0.059539875,,0.052545326,2.589277643,,,,,,,,,
R0042,GFAP,0,29.8,,,0.3,33,R0033,96,N,N 96 HR,Control 3,30.53,30.53,34.77,34.77,34.77,,,,34.77,4.24,4.24,4.24,0.052921582,0.052921582,,0.052921582,0.052921582,,0.046704528,2.301460483,,,,,,,,,
R0042,IL-1B,0.1,34.49,,,0.4,33,R0033,96,N,N 96 HR,Control 3,30.53,30.53,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0042,IL-1B,0.2,34.24,,,0,34,R0034,96,N,N 96 HR,Control 3,27.64,27.64,33.67,33.7,33.31,,,,33.56,5.92,5.92,5.92,0.016515907,0.016515907,,0.016515907,0.016515907,,0.014575672,0.718245857,,,,,,,,,
R0042,IL-1B,0.3,35.02,,,0.1,34,R0034,96,N,N 96 HR,Control 3,27.64,27.64,33.67,33.67,33.67,,,,33.67,6.03,6.03,6.03,0.015303442,0.015303442,,0.015303442,0.015303442,,0.013505644,0.665518036,,,,,,,,,
R0044,GFAP,0,27.44,,,0.2,34,R0034,96,N,N 96 HR,Control 3,27.64,27.64,33.7,33.7,33.7,,,,33.7,6.06,6.06,6.06,0.014988502,0.014988502,,0.014988502,0.014988502,,0.013227702,0.651821873,,,,,,,,,
R0044,IL-1B,0.1,34.03,,,0.3,34,R0034,96,N,N 96 HR,Control 3,27.64,27.64,33.31,33.31,33.31,,,,33.31,5.67,5.67,5.67,0.019640834,0.019640834,,0.019640834,0.019640834,,0.017333493,0.854143083,,,,,,,,,
R0044,IL-1B,0.2,35.02,,,0.4,34,R0034,96,N,N 96 HR,Control 3,27.64,27.64,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0044,IL-1B,0.3,35.02,,,0,35,R0035,96,N,N 96 HR,Control 3,38.02,38.02,35.74,35.43,34.82,,,,35.33,-2.69,-2.69,-2.69,6.453134074,6.453134074,,6.453134074,6.453134074,,5.695041089,280.6347145,,,,,,,,,
R0045,GFAP,0,27.82,,,0.1,35,R0035,96,N,N 96 HR,Control 3,38.02,38.02,35.74,35.74,35.74,,,,35.74,-2.28,-2.28,-2.28,4.856779538,4.856779538,,4.856779538,4.856779538,,4.286221038,211.2122456,,,,,,,,,
R0045,IL-1B,0.1,34.09,,,0.2,35,R0035,96,N,N 96 HR,Control 3,38.02,38.02,35.43,35.43,35.43,,,,35.43,-2.59,-2.59,-2.59,6.02098699,6.02098699,,6.02098699,6.02098699,,5.313661224,261.8414472,,,,,,,,,
R0045,IL-1B,0.2,34.08,,,0.3,35,R0035,96,N,N 96 HR,Control 3,38.02,38.02,34.82,34.82,34.82,,,,34.82,-3.2,-3.2,-3.2,9.18958684,9.18958684,,9.18958684,9.18958684,,8.110024377,399.63792,,,,,,,,,
R0045,IL-1B,0.3,34.78,,,0.4,35,R0035,96,N,N 96 HR,Control 3,38.02,38.02,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0046,GFAP,0,29.9,,,0,36,R0036,48,N,N 48 HR,Control 2,30.05,30.05,34.46,35.48,34.15,,,,34.69666667,4.646666667,4.646666667,4.646666667,0.039922153,0.039922153,,0.039922153,0.039922153,,0.044507005,2.773371494,,,,,,,,,
R0046,IL-1B,0.1,34.8,,,0.1,36,R0036,48,N,N 48 HR,Control 2,30.05,30.05,34.46,34.46,34.46,,,,34.46,4.41,4.41,4.41,0.047038961,0.047038961,,0.047038961,0.047038961,,0.052441142,3.267772495,,,,,,,,,
R0046,IL-1B,0.2,33.76,,,0.2,36,R0036,48,N,N 48 HR,Control 2,30.05,30.05,35.48,35.48,35.48,,,,35.48,5.43,5.43,5.43,0.023195681,0.023195681,,0.023195681,0.023195681,,0.025859585,1.611392053,,,,,,,,,
R0046,IL-1B,0.3,34.4,,,0.3,36,R0036,48,N,N 48 HR,Control 2,30.05,30.05,34.15,34.15,34.15,,,,34.15,4.1,4.1,4.1,0.058314562,0.058314562,,0.058314562,0.058314562,,0.065011687,4.051082724,,,,,,,,,
R0047,GFAP,0,28.31,,,0.4,36,R0036,48,N,N 48 HR,Control 2,30.05,30.05,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0047,IL-1B,0.1,34.93,,,0,37,R0037,96,N,N 96 HR,Control 3,27.92,27.92,34.31,34.66,34.31,,,,34.42666667,6.506666667,6.506666667,6.506666667,0.010997606,0.010997606,,0.010997606,0.010997606,,0.009705643,0.478265292,,,,,,,,,
R0047,IL-1B,0.2,34.8,,,0.1,37,R0037,96,N,N 96 HR,Control 3,27.92,27.92,34.31,34.31,34.31,,,,34.31,6.39,6.39,6.39,0.0119239,0.0119239,,0.0119239,0.0119239,,0.010523119,0.518548081,,,,,,,,,
R0047,IL-1B,0.3,35.07,,,0.2,37,R0037,96,N,N 96 HR,Control 3,27.92,27.92,34.66,34.66,34.66,,,,34.66,6.74,6.74,6.74,0.009355302,0.009355302,,0.009355302,0.009355302,,0.008256272,0.406844578,,,,,,,,,
R0048,GFAP,0,26.09,,,0.3,37,R0037,96,N,N 96 HR,Control 3,27.92,27.92,34.31,34.31,34.31,,,,34.31,6.39,6.39,6.39,0.0119239,0.0119239,,0.0119239,0.0119239,,0.010523119,0.518548081,,,,,,,,,
R0048,IL-1B,0.1,33.95,,,0.4,37,R0037,96,N,N 96 HR,Control 3,27.92,27.92,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0048,IL-1B,0.2,34.45,,,0,38,R0038,96,N,N 96 HR,Control 3,29.97,29.97,34.54,33.63,33.05,,,,33.74,3.77,3.77,3.77,0.073302184,0.073302184,,0.073302184,0.073302184,,0.064690885,3.187774705,,,,,,,,,
R0048,IL-1B,0.3,34.18,,,0.1,38,R0038,96,N,N 96 HR,Control 3,29.97,29.97,34.54,34.54,34.54,,,,34.54,4.57,4.57,4.57,0.042101049,0.042101049,,0.042101049,0.042101049,,0.037155156,1.83089578,,,,,,,,,
R0049,GFAP,0,30.57,,,0.2,38,R0038,96,N,N 96 HR,Control 3,29.97,29.97,33.63,33.63,33.63,,,,33.63,3.66,3.66,3.66,0.079109787,0.079109787,,0.079109787,0.079109787,,0.069816229,3.440336473,,,,,,,,,
R0049,IL-1B,0.1,34.94,,,0.3,38,R0038,96,N,N 96 HR,Control 3,29.97,29.97,33.05,33.05,33.05,,,,33.05,3.08,3.08,3.08,0.118257206,0.118257206,,0.118257206,0.118257206,,0.104364738,5.142784392,,,,,,,,,
R0049,IL-1B,0.2,34.91,,,0.4,38,R0038,96,N,N 96 HR,Control 3,29.97,29.97,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0049,IL-1B,0.3,34.55,,,0,39,R0039,24,N,N 24 HR,Control 1,29.08,29.08,34.09,34.59,35.21,,,,34.63,5.55,5.208890333,5.248901475,0.027037577,0.02629803,,0.021344379,0.021344379,,2.061349914,1.804268519,,,,,,,,,
R0050,GFAP,0,28.89,,,0.1,39,R0039,24,N,N 24 HR,Control 1,29.08,29.08,34.09,34.09,34.09,,,,34.09,5.01,4.668890333,4.708901475,0.039311894,0.038236612,,0.03103414,0.03103414,,2.997146124,2.62335684,,,,,,,,,
R0050,IL-1B,0.1,35.26,,,0.2,39,R0039,24,N,N 24 HR,Control 1,29.08,29.08,34.59,34.59,34.59,,,,34.59,5.51,5.168890333,5.208901475,0.027797707,0.027037368,,0.021944451,0.021944451,,2.119302348,1.854993411,,,,,,,,,
R0050,IL-1B,0.2,35.58,,,0.3,39,R0039,24,N,N 24 HR,Control 1,29.08,29.08,35.21,35.21,35.21,,,,35.21,6.13,5.788890333,5.828901475,0.018087159,0.017592429,,0.014278616,0.014278616,,1.378968425,1.206990284,,,,,,,,,
R0050,IL-1B,0.3,35.86,,,0.4,39,R0039,24,N,N 24 HR,Control 1,29.08,29.08,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0051,GFAP,0,27.65,,,0,40,R0040,24,N,N 24 HR,Control 1,27.44,27.44,34.74,35,34.7,,,,34.81333333,7.373333333,7.032223667,7.072234808,0.007639936,0.007430964,,0.006031225,0.006031225,,0.582470177,0.509827369,,,,,,,,,
R0051,IL-1B,0.1,35.31,,,0.1,40,R0040,24,N,N 24 HR,Control 1,27.44,27.44,34.74,34.74,34.74,,,,34.74,7.3,6.958890333,6.998901475,0.00803832,0.007818451,,0.006345722,0.006345722,,0.612842996,0.53641224,,,,,,,,,
R0051,IL-1B,0.2,35.13,,,0.2,40,R0040,24,N,N 24 HR,Control 1,27.44,27.44,35,35,35,,,,35,7.56,7.218890333,7.258901475,0.006712704,0.006529094,,0.005299236,0.005299236,,0.511777783,0.447951381,,,,,,,,,
R0051,IL-1B,0.3,35.94,,,0.3,40,R0040,24,N,N 24 HR,Control 1,27.44,27.44,34.7,34.7,34.7,,,,34.7,7.26,6.918890333,6.958901475,0.008264308,0.008038258,,0.006524124,0.006524124,,0.630072358,0.551492841,,,,,,,,,
R0052,GFAP,0,30.33,,,0.4,40,R0040,24,N,N 24 HR,Control 1,27.44,27.44,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0052,IL-1B,0.1,35.28,,,0,41,R0041,48,N,N 48 HR,Control 2,37.36,37.36,35.1,34.88,34.91,,,,34.96333333,-2.396666667,-2.396666667,-2.396666667,5.265850878,5.265850878,,5.265850878,5.265850878,,5.870606583,365.8159608,,,,,,,,,
R0052,IL-1B,0.2,35.03,,,0.1,41,R0041,48,N,N 48 HR,Control 2,37.36,37.36,35.1,35.1,35.1,,,,35.1,-2.26,-2.26,-2.26,4.789914818,4.789914818,,4.789914818,4.789914818,,5.340011731,332.7529268,,,,,,,,,
R0052,IL-1B,0.3,34.68,,,0.2,41,R0041,48,N,N 48 HR,Control 2,37.36,37.36,34.88,34.88,34.88,,,,34.88,-2.48,-2.48,-2.48,5.578974665,5.578974665,,5.578974665,5.578974665,,6.219691016,387.5685098,,,,,,,,,
R0053,GFAP,0,28.41,,,0.3,41,R0041,48,N,N 48 HR,Control 2,37.36,37.36,34.91,34.91,34.91,,,,34.91,-2.45,-2.45,-2.45,5.464161027,5.464161027,,5.464161027,5.464161027,,6.091691626,379.5924652,,,,,,,,,
R0053,IL-1B,0.1,35.12,,,0.4,41,R0041,48,N,N 48 HR,Control 2,37.36,37.36,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0053,IL-1B,0.2,34.47,,,0,42,R0042,48,N,N 48 HR,Control 2,29.8,29.8,34.49,34.24,35.02,,,,34.58333333,4.783333333,4.783333333,4.783333333,0.036313925,0.036313925,,0.036313925,0.036313925,,0.040484391,2.522709724,,,,,,,,,
R0053,IL-1B,0.3,35.86,,,0.1,42,R0042,48,N,N 48 HR,Control 2,29.8,29.8,34.49,34.49,34.49,,,,34.49,4.69,4.69,4.69,0.038740866,0.038740866,,0.038740866,0.038740866,,0.043190053,2.691308074,,,,,,,,,
R0054,GFAP,0,26.53,,,0.2,42,R0042,48,N,N 48 HR,Control 2,29.8,29.8,34.24,34.24,34.24,,,,34.24,4.44,4.44,4.44,0.046070913,0.046070913,,0.046070913,0.046070913,,0.051361919,3.20052271,,,,,,,,,
R0054,IL-1B,0.1,34.81,,,0.3,42,R0042,48,N,N 48 HR,Control 2,29.8,29.8,35.02,35.02,35.02,,,,35.02,5.22,5.22,5.22,0.02683017,0.02683017,,0.02683017,0.02683017,,0.029911476,1.863878147,,,,,,,,,
R0054,IL-1B,0.2,34.29,,,0.4,42,R0042,48,N,N 48 HR,Control 2,29.8,29.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0054,IL-1B,0.3,34.55,,,0,44,R0044,96,N,N 96 HR,Control 3,27.44,27.44,34.03,35.02,35.02,,,,34.69,7.25,7.25,7.25,0.006569503,0.006569503,,0.006569503,0.006569503,,0.00579774,0.285695392,,,,,,,,,
