Pup_ID,Slide_Number,SlideNumber,Surg_Grp,PerfusionPoint,Wgt,Lngth_cm,Sex,Sex_Num,Pinchresponse,Pinch_Response/Activity,Response_Num
MH188,1188,188,S/H,48 HR,3.506,7.3,F,1,L,Sadate,1
MH189,1189,189,S/H,48 HR,3.523,7.1,F,1,M,Mid,3
MH190,1190,190,S/H,48 HR,3.987,7.6,M,0,R,Hyper,5
MH191,1191,191,S/H,48 HR,3.898,7.6,F,1,R,Hyper,5
MH192,1192,192,S/H,48 HR,3.442,7.3,M,0,M,Mid,3
MH193,1193,193,L/H,48 HR,3.87,6.5,M,0,L,Sadate,1
MH194,1194,194,L/H,48 HR,3.407,6.9,F,1,L,Sadate,1
MH195,1195,195,L/H,48 HR,2.737,5.4,F,1,L,Sadate,1
MH196,1196,196,L/H,48 HR,2.209,6.1,M,0,M,Mid,3
MH197,1197,197,L/H,48 HR,3.611,7.4,M,0,L,Sadate,1
MH198,1198,198,L/H,48 HR,2.983,6.8,M,0,L,Sadate,1
MH199,1199,199,L/H,48 HR,3.537,7.5,M,0,L,Sadate,1
MH200,1200,200,L/H,48 HR,3.935,7.6,M,0,L,Sadate,1
MH201,1201,201,S/H,48 HR,2.35,6.5,F,1,L,Sadate,1
MH202,1202,202,S/H,48 HR,1.899,5.5,M,0,M,Mid,3
MH205,1205,205,N,48 HR,1.845,5.4,F,1,L,Lathargic,1
MH206,1206,206,N,48 HR,1.797,5.6,M,0,L,Lathargic,1
MH207,1207,207,N,48 HR,1.801,5.8,F,1,L,Lathargic,1
MH208,1208,208,N,48 HR,1.669,5.5,M,0,N/A,Died in weigh boat,0
MH215,1215,215,L/H,48 HR,4.393,7.2,M,0,R,Active,5
MH216,1216,216,L/H,48 HR,4.979,8,F,1,R,Active,5
MH217,1217,217,L/H,48 HR,5.273,8.2,M,0,R,Active,5
MH218,1218,218,L/H,48 HR,5.494,8.2,F,1,R,Active,5
MH219,1219,219,L/H,48 HR,4.873,7.9,F,1,R,Active,5
MH210,1210,210,L/H,48 HR,3.997,7.5,F,1,R,Active,5
MH211,1211,211,L/H,48 HR,4.426,7.7,M,0,R,Active,5
MH220,1220,220,L/H,48 HR,2.394,6.2,M,0,L,Lathargic,1
MH221,1221,221,L/H,48 HR,2.67,6.1,M,0,L,Lathargic,1
MH222,1222,222,L/H,48 HR,2.316,6.2,M,0,L,Lathargic,1
MH223,1223,223,L/H,48 HR,2.703,7.3,M,0,L,Lathargic,1
MH224,1224,224,L/H,48 HR,2.578,6.5,M,0,M,Mid,3
MH225,1225,225,S/H,48 HR,2.943,6.6,F,1,R,High,5
MH226,1226,226,S/H,48 HR,3.147,6.3,F,1,R,High,5
MH227,1227,227,S/H,48 HR,3.376,6.9,F,1,R,High,5
MH228,1228,228,S/H,48 HR,3.585,6.4,M,0,M,Mid,3
MH229,1229,229,S/H,48 HR,3.75,6.9,F,1,R,High,5
MH230,1230,230,L/H,48 HR,2.583,6.2,M,0,L,Lathargic,1
MH231,1231,231,L/H,48 HR,3.374,6.7,F,1,M,Mid,3
MH232,1232,232,L/H,48 HR,2.645,6.7,M,0,L,Lathargic,1
MH233,1233,233,L/H,48 HR,3.58,7.1,M,0,R,Acive,5
MH234,1234,234,L/H,48 HR,2.907,6.8,M,0,M,Mid,3
MH235,1235,235,L/H,48 HR,3.933,7.2,M,0,M,Mid/Hyper,3
MH236,1236,236,L/H,48 HR,2.927,6.9,F,1,,,
MH237,1237,237,L/H,48 HR,1.706,3.3,F,1,L,Lathargic,1
MH238,1238,238,N,48 HR,6.863,8.8,F,1,R,Active,5
MH239,1239,239,N,48 HR,7.29,9.2,M,0,R,Hyper,5
MH240,1240,240,N,48 HR,6.901,9.2,M,0,R,Hyper,5
MH241,1241,241,N,48 HR,6.771,8.9,F,1,M,Mid,3
MH242,1242,242,N,48 HR,6.838,8.7,M,0,R,Hyper,5
MH243,1243,243,N,48 HR,6.382,8.6,F,1,L,Lathargic,1
MH244,1244,244,N,48 HR,6.292,8.4,M,0,R,Hyper,5
MH245,1245,245,N,48 HR,6.775,9.2,M,0,R,Active,5
MH246,1246,246,N,48 HR,6.95,9.5,M,0,R,Acitve,5
