Pup_ID,Slide_Number,SlideNumber,Surg_Grp,PerfusionPoint,Wgt,Lngth_cm,Sex,Sex_Num,Pinchresponse,Pinch_Response/Activity,Response_Num
MH517,1517,517,RV 7,48 HR,6.289,7.7,F,1,L,Lethargic,1
MH518,1518,518,RV 7,48 HR,6.146,7.8,M,0,L,Lethargic,1
MH519,1519,519,RV 7,48 HR,8.0692,8.5,M,0,A,Active,3
MH520,1520,520,RV 7,48 HR,8.5761,9.5,M,0,A,Active,3
MH522,1522,522,RV 7,48 HR,8.126,9.3,M,0,R,Hyper Active,5
MH523,1523,523,RV 7,48 HR,6.7584,8.9,M,0,A,Active,3
MH524,1524,524,RV 7,48 HR,4.895,7.4,M,0,A,Active,3
MH525,1525,525,RV 7,48 HR,6.6179,8.4,M,0,R,Hyper Active,5
MH530,1530,530,RV 7,48 HR,5.1542,7.9,M,0,R,Hyper Active,5
MH531,1531,531,RV 7,48 HR,5.0105,7.8,M,0,A,Active,3
D0001,1001,1,RV 7,48 HR,5.1715,7.7,F,1,L,Lethargic,1
D0002,1002,2,N,48 HR,5.432,7.2,F,1,A,Active,3
D0003,1003,3,N,48 HR,4.7883,7.3,F,1,A,Active,3
D0004,1004,4,N,48 HR,5.7762,8,F,1,R,Hyper Active,5
D0005,1005,5,N,48 HR,5.7868,8,F,1,A,Active,3
D0006,1006,6,N,48 HR,5.5165,7.8,F,1,R,Hyper Active,5
,1,,,#N/A,,,,,,,
MH534,1534,534,L/H,24 HR,2.4099,6.6,M,0,A,Active,3
MH535,1535,535,L/H,24 HR,2.4089,6.2,F,1,A,Active,3
MH536,1536,536,L/H,24 HR,2.2877,5.8,M,0,A,Active,3
MH537,1537,537,L/H,96 HR,3.0264,6.2,F,1,L,Lethargic,1
MH538,1538,538,L/H,96 HR,3.7815,7.1,M,0,L,Lethargic,1
MH539,1539,539,L/H,96 HR,2.684,6.9,M,0,L,Lethargic,1
MH540,1540,540,S/H,24 HR,2.9101,7.2,M,0,A,Active,3
MH541,1541,541,S/H,24 HR,3.8109,7.3,M,0,A,Active,3
MH542,1542,542,S/H,24 HR,3.1655,7.1,F,1,L,Lethargic,1
MH543,1543,543,S/H,DIED,,,,,,,
MH544,1544,544,S/H,96 HR,4.774,8.9,M,0,A,Active,3
MH545,1545,545,S/H,96 HR,5.0883,8.2,M,0,A,Active,3
MH546,1546,546,S/H,96 HR,6.2012,8.7,M,0,A,Active,3
MH547,1547,547,S/H,96 HR,5.6868,8.5,F,1,R,Hyper Active,5
MH548,1548,548,N,24 HR,5.421,7.8,M,0,A,Active,3
MH549,1549,549,N,24 HR,4.244,7.5,F,1,R,Hyper Active,5
MH550,1550,550,N,24 HR,4.3523,7.6,F,1,A,Active,3
MH551,1551,551,N,24 HR,5.3138,8.2,F,1,A,Active,3
MH552,1552,552,N,48 HR,4.895,8.2,F,1,R,Hyper Active,5
MH553,1553,553,N,48 HR,6.0908,8.4,M,0,R,Hyper Active,5
MH554,1554,554,N,48 HR,4.9189,8.3,M,0,A,Active,3
MH555,1555,555,N,96 HR,7.1239,8.3,M,0,R,Hyper Active,5
MH556,1556,556,N,96 HR,6.4315,8.1,F,1,R,Hyper Active,5
MH557,1557,557,N,96 HR,6.9416,8.9,F,1,R,Hyper Active,5
,1,,,#N/A,,,,,,,
MH560,1560,560,N,24 HR,5.4477,7.8,F,1,L,Lethargic,1
MH561,1561,561,N,24 HR,6.3057,8,M,0,A,Active,3
MH562,1562,562,N,48 HR,6.4785,8.7,M,0,A,Active,3
MH563,1563,563,N,48 HR,6.4817,9,M,0,A,Active,3
MH564,1564,564,N,48 HR,7.1793,9.1,M,0,R,Hyper Active,5
MH565,1565,565,N,48 HR,7.02,8.7,F,1,R,Hyper Active,5
MH566,1566,566,N,96 HR,8.0241,9.3,M,0,L,Lethargic,1
MH567,1567,567,N,96 HR,7.883,9.3,F,1,L,Lethargic,1
MH568,1568,568,S/H,24 HR,1.6703,5.4,M,0,L,Lethargic,1
MH569,1569,569,S/H,24 HR,2.0544,6.1,M,0,L,Lethargic,1
MH570,1570,570,S/H,24 HR,1.7879,5.7,M,0,L,Lethargic,1
,1,,,#N/A,,,,,,,
MH575,1575,575,N,24 HR,4.9495,7.7,M,0,A,Active,3
MH576,1576,576,N,24 HR,5.9693,8.2,M,0,R,Hyper Active,5
MH577,1577,577,N,48 HR,5.8262,7.4,F,1,A,Active,3
MH578,1578,578,N,48 HR,4.9507,7,F,1,A,Active,3
MH579,1579,579,N,48 HR,4.7426,8.4,M,0,A,Active,3
MH580,1580,580,N,96 HR,9.1524,10.1,M,0,A,Active,3
MH581,1581,581,N,96 HR,7.6859,9.4,M,0,R,Hyper Active,5
,1,,,#N/A,,,,,,,
MH585,1585,585,RV 10,96 HR,7.2075,9.1,M,0,A,Active,3
MH586,1586,586,RV 10,96 HR,7.1028,8.8,M,0,L,Lethargic,1
MH587,1587,587,RV 10,96 HR,6.8014,9.9,M,0,A,Active,3
MH588,1588,588,RV 10,24 HR,5.9806,8.6,F,1,R,Hyper Active,5
MH589,1589,589,RV 10,24 HR,6.1753,8.6,M,0,A,Active,3
MH590,1590,590,RV 10,24 HR,5.8932,8.8,M,0,A,Active,3
MH591,1591,591,RV 10,24 HR,5.5978,8.2,F,1,R,Hyper Active,5
MH592,1592,592,RV 10,24 HR,5.8792,8,F,1,A,Active,3
MH593,1593,593,RV 10,24 HR,6.1789,8.6,F,1,R,Hyper Active,5
MH594,1594,594,RV 10,24 HR,6.0456,8.5,M,0,A,Active,3
MH595,1595,595,RV 10,24 HR,5.8429,8.2,M,0,R,Hyper Active,5
MH596,1596,596,RV 10,24 HR,6.3028,8.4,M,0,L,Lethargic,1
MH597,1597,597,RV 10,96 HR,5.294,7.8,M,0,A,Active,3
,1,,,#N/A,,,,,,,
MH600,1600,600,RV 10,96 HR,5.9342,8.3,F,1,R,Hyper Active,5
MH601,1601,601,RV 10,96 HR,4.962,7.2,F,1,R,Hyper Active,5
MH602,1602,602,RV 10,96 HR,5.564,6.9,F,1,R,Hyper Active,5
MH603,1603,603,RV 10,96 HR,5.6065,7.25,F,1,R,Hyper Active,5
MH604,1604,604,RV 10,96 HR,6.3124,8.2,F,1,R,Hyper Active,5
MH605,1605,605,RV 10,96 HR,5.4093,7.6,M,0,A,Active,3
MH606,1606,606,RV 10,96 HR,5.4189,8.1,M,0,A,Active,3
MH607,1607,607,RV 10,96 HR,5.6657,8.63,M,0,A,Active,3
MH608,1608,608,RV 10,24 HR,5.4244,7.4,F,1,A,Active,3
MH609,1609,609,RV 10,24 HR,5.2783,7.7,F,1,A,Active,3
MH610,1610,610,RV 10,24 HR,5.9775,8,F,1,R,Hyper Active,5
MH611,1611,611,RV 10,24 HR,5.8465,7.9,M,0,A,Active,3
MH612,1612,612,RV 10,24 HR,6.0852,7.8,M,0,A,Active,3
MH613,1613,613,RV 10,24 HR,6.3853,8.2,M,0,A,Active,3
MH614,1614,614,RV 10,24 HR,5.4758,7.9,M,0,A,Active,3
MH615,1615,615,RV 10,24 HR,5.8037,7.4,M,0,A,Active,3
MH616,1616,616,RV 10,24 HR,5.0803,7.5,F,1,A,Active,3
MH617,1617,617,RV 10,24 HR,4.9249,7.8,F,1,A,Active,3
MH618,1618,618,RV 10,24 HR,4.9246,7.7,F,1,A,Active,3
MH619,1619,619,RV 10,24 HR,5.8467,7.9,M,0,A,Active,3
MH620,1620,620,RV 10,48 HR,5.1053,8.1,M,0,A,Active,3
,1,,,#N/A,,,,,,,
MH625,1625,625,RV 10,96 HR,8.1005,9.9,F,1,R,Hyper Active,5
MH626,1626,626,RV 10,96 HR,7.43,9.8,F,1,A,Active,3
MH627,1627,627,RV 10,96 HR,7.5799,9.5,F,1,R,Hyper Active,5
MH628,1628,628,RV 10,96 HR,8.0933,10,F,1,R,Hyper Active,5
MH629,1629,629,RV 10,96 HR,7.4048,9.3,F,1,R,Hyper Active,5
MH630,1630,630,RV 10,DIED,,,,,,,
MH631,1631,631,RV 10,24 HR,4.9725,8.1,F,1,A,Active,3
MH632,1632,632,RV 10,96 HR,6.8527,9.6,M,0,R,Hyper Active,5
MH633,1633,633,RV 10,24 HR,4.5753,8.2,M,0,A,Active,3
MH634,1634,634,RV 10,24 HR,6.032,8.7,M,0,A,Active,3
,1,,,#N/A,,,,,,,
MH635,1635,635,N,96 HR,7.5609,10.1,F,1,R,Hyper Active,5
MH636,1636,636,N,96 HR,7.209,9.9,F,1,A,Active,3
MH637,1637,637,N,96 HR,6.8272,9.3,F,1,R,Hyper Active,5
MH638,1638,638,N,96 HR,5.8154,9.5,F,1,A,Active,3
MH639,1639,639,N,96 HR,7.3835,10.3,M,0,A,Active,3
MH640,1640,640,N,96 HR,7.1318,10.5,M,0,R,Hyper Active,5
MH641,1641,641,N,96 HR,6.9813,10,M,0,R,Hyper Active,5
MH642,1642,642,N,96 HR,7.0906,10.3,M,0,A,Active,3
MH643,1643,643,N,96 HR,7.3406,9.8,M,0,A,Active,3
,1,,,#N/A,,,,,,,
MH645,1645,645,S/H,24 HR,3.2304,6.8,F,1,A,Active,3
MH646,1646,646,S/H,24 HR,3.4071,7,F,1,A,Active,3
MH647,1647,647,S/H,24 HR,3.0733,7.1,F,1,A,Active,3
MH648,1648,648,S/H,48 HR,4.2376,7.7,F,1,A,Active,3
MH649,1649,649,S/H,48 HR,4.4019,7.5,M,0,A,Active,3
MH650,1650,650,S/H,48 HR,2.448,6.3,M,0,A,Active,3
,1,,,#N/A,,,,,,,
MH655,1655,655,S/N,24 HR,7.7865,8,M,0,A,Active,3
MH656,1656,656,S/N,24 HR,6.3388,8.5,M,0,R,Hyper Active,5
MH657,1657,657,S/N,24 HR,6.679,8.9,F,1,R,Hyper Active,5
MH658,1658,658,S/N,48 HR,7.0803,9.2,M,0,A,Active,3
MH659,1659,659,S/N,48 HR,6.989,8.9,F,1,L,Lethargic,1
MH660,1660,660,S/N,96 HR,9.5282,10.7,M,0,R,Hyper Active,5
MH661,1661,661,S/N,96 HR,8.0747,10.5,M,0,R,Hyper Active,5
MH662,1662,662,S/N,96 HR,7.515,10,F,1,A,Active,3
MH663,1663,663,S/H,24 HR,4.602,7.5,F,1,A,Active,3
MH664,1664,664,S/H,24 HR,3.4645,6.9,M,0,A,Active,3
MH665,1665,665,S/H,24 HR,4.0414,7.9,F,1,R,Hyper Active,5
MH666,1666,666,S/H,48 HR,4.347,7.6,M,0,A,Active,3
MH667,1667,667,S/H,48 HR,3.6172,7.2,M,0,A,Active,3
MH668,1668,668,S/H,48 HR,3.8501,7.1,F,1,A,Active,3
MH669,1669,669,S/H,48 HR,3.0744,6.9,F,1,L,Lethargic,1
MH670,1670,670,S/H,48 HR,4.9167,7.9,M,0,A,Active,3
MH671,1671,671,S/H,96 HR,6.415,8.3,M,0,A,Active,3
MH672,1672,672,S/H,96 HR,5.8519,8.5,M,0,A,Active,3
MH674,1674,674,S/H,96 HR,5.7321,8.4,F,1,A,Active,3
MH675,1675,675,S/H,96 HR,5.6859,8.2,F,1,A,Active,3
,1,,,#N/A,,,,,,,
MH680,1680,680,RV 7,48 HR,4.4202,6.9,M,0,L,Lethargic,1
MH681,1681,681,RV 7,48 HR,5.4544,7.3,M,0,A,Active,3
MH682,1682,682,RV 7,48 HR,1.5508,7,F,1,A,Active,3
MH683,1683,683,RV 7,48 HR,5.1881,7.5,F,1,A,Active,3
MH684,1684,684,RV 7,48 HR,5.4984,7.6,F,1,A,Active,3
MH685,1685,685,RV 7,48 HR,4.8239,7.5,F,1,A,Active,3
MH686,1686,686,RV 7,48 HR,5.144,7.4,F,1,A,Active,3
,1,,,#N/A,,,,,,,
MH690,1690,690,RV 10,24 HR,5.7053,8.5,F,1,A,Active,3
MH691,1691,691,RV 10,24 HR,4.3719,8.1,F,1,L,Lethargic,1
MH692,1692,692,RV 10,48 HR,5.1968,8.8,F,1,A,Active,3
MH693,1693,693,RV 10,48 HR,5.0321,8.5,M,0,A,Active,3
MH694,1694,694,RV 10,48 HR,5.6912,9,M,0,A,Active,3
MH695,1695,695,RV 10,48 HR,5.9968,8.9,M,0,A,Active,3
MH696,1696,696,RV 10,48 HR,6.6281,9.4,M,0,L,Lethargic,1
MH697,1697,697,RV 10,48 HR,4.4626,8.5,M,0,L,Lethargic,1
,1,,,#N/A,,,,,,,
MH700,1700,700,N,48 HR,8.0432,10.05,M,0,L,Lethargic,1
MH701,1701,701,N,48 HR,7.6568,10.4,M,0,A,Active,3
MH702,1702,702,N,48 HR,7.571,9.7,M,0,R,HyperActive,5
MH703,1703,703,N,48 HR,6.8231,9.8,F,1,A,Active,3
MH704,1704,704,N,48 HR,7.512,9.7,F,1,A,Active,3
MH705,1705,705,N,48 HR,7.6753,9.9,F,1,R,HyperActive,5
MH706,1706,706,N,96 HR,9.2759,11.2,M,0,R,HyperActive,5
MH707,1707,707,N,96 HR,8.5551,10.6,F,1,A,Active,3
MH708,1708,708,N,96 HR,8.6598,10.9,F,1,R,HyperActive,5
,1,,,#N/A,,,,,,,
MH710,1710,710,L/H,24 HR,1.5296,4.9,M,0,R,HyperActive,5
MH711,1711,711,L/H,24 HR,1.725,5,M,0,R,HyperActive,5
MH712,1712,712,L/H,24 HR,1.7702,5.1,M,0,A,Active,3
MH713,1713,713,L/H,24 HR,2.3931,5.7,F,1,A,Active,3
MH714,1714,714,L/H,24 HR,2.9861,6.2,M,0,R,HyperActive,5
MH715,1715,715,L/H,24 HR,2.9997,6.4,F,1,R,HyperActive,5
MH716,1716,716,L/H,48 HR,3.2218,6.3,M,0,A,Active,3
MH717,1717,717,L/H,48 HR,3.2143,6.5,F,1,A,Active,3
MH718,1718,718,L/H,96 HR,5.7634,7.8,M,0,L,Lethargic,1
MH719,1719,719,L/H,96 HR,5.2971,7.6,M,0,A,Active,3
,1,,,#N/A,,,,,,,
MH720,1720,720,S/H,24 HR,2.7864,6.3,F,1,A,Active,3
MH721,1721,721,S/H,24 HR,3.1576,6.9,M,0,A,Active,3
MH722,1722,722,S/H,24 HR,2.7102,6.4,M,0,A,Active,3
MH723,1723,723,S/H,48 HR,2.7394,6.5,M,0,L,Lethargic,1
MH724,1724,724,S/H,48 HR,3.3143,6.8,M,0,L,Lethargic,1
MH725,1725,725,S/H,96 HR,3.6055,6.8,F,1,L,Lethargic,1
MH726,1726,726,S/H,96 HR,3.408,6.5,M,0,L,Lethargic,1
MH727,1727,727,S/H,96 HR,3.3765,6.9,M,0,L,Lethargic,1
,1,,,#N/A,,,,,,,
MH728,1728,728,L/H,24 HR,3.8315,7.2,F,1,A,Active,3
MH729,1729,729,L/H,24 HR,4.3333,7.9,M,0,A,Active,3
MH730,1730,730,L/H,48 HR,3.917,7.5,F,1,L,Lethargic,1
MH731,1731,731,L/H,48 HR,4.774,7.8,M,0,L,Lethargic,1
MH732,1732,732,L/H,48 HR,4.789,7.7,M,0,R,HyperActive,5
MH733,1733,733,L/H,96 HR,6.547,8.8,F,1,A,Active,3
MH734,1734,734,L/H,96 HR,5.8489,8.1,F,1,A,Active,3
MH735,1735,735,L/H,96 HR,4.4883,7.2,M,0,A,Active,3
,1,,,#N/A,,,,,,,
MH736,1736,736,RV 10,48 hR,4.6389,7.7,M,0,A,Active,3
MH737,1737,737,RV 10,48 HR,5.2304,7.9,M,0,A,Active,3
,,,,#N/A,,,,,,,
MH738,1738,738,RV 10,96 HR,7.2912,8.9,M,0,L,Lethargic,1
MH739,1739,739,RV 10,96 HR,6.2921,8.5,M,0,L,Lethargic,1
MH740,1740,740,RV 10,96 HR,5.522,9.4,M,0,A,Active,3
MH741,1741,741,RV 10,96 HR,6.5423,9.1,F,1,A,Active,3
MH742,1742,742,RV 10,96 HR,6.2489,9,M,0,A,Active,3
MH743,1743,743,RV 10,96 HR,DOT,DOT,M,DOT,DOT,DOT,DOT
,,,,#N/A,,,,,,,
MH738,1738,738,N,96 HR,4.532,7.7,M,0,A,Active,3
MH739,1739,739,N,96 HR,4.1309,7.2,M,0,A,Active,3
MH740,1740,740,N,96 HR,4.4325,6.9,M,0,A,Active,3
MH741,1741,741,N,96 HR,5.468,8.2,M,0,A,Active,3
MH742,1742,742,N,96 HR,5.1743,8.2,F,1,A,Active,3
MH743,1743,743,N,96 HR,5.2783,8.3,M,0,A,Active,3
,,,,#N/A,,,,,,,
MH736,1736,736,N,48 hR,4.0459,7.1,M,0,A,Active,3
MH737,1737,737,N,48 HR,5.1007,7.6,M,0,A,Active,3
,,,,#N/A,,,,,,,
MH738,1738,738,RV 10,96 HR,4.532,7.7,M,0,A,Active,3
MH739,1739,739,RV 10,96 HR,4.1309,7.2,M,0,A,Active,3
MH740,1740,740,RV 10,96 HR,4.4325,6.9,M,0,A,Active,3
MH741,1741,741,RV 10,96 HR,5.468,8.2,M,0,A,Active,3
MH742,1742,742,RV 10,96 HR,5.1743,8.2,F,1,A,Active,3
MH743,1743,743,RV 10,96 HR,5.2783,8.3,M,0,A,Active,3
,,,,#N/A,,,,,,,
MH736,1736,736,RV 10,48 hR,4.0459,7.1,M,0,A,Active,3
MH737,1737,737,RV 10,48 HR,5.1007,7.6,M,0,A,Active,3
,,,,#N/A,,,,,,,
MH745,1745,745,N,48,4.6958,7.7,M,0,A,Active,3
MH746,1746,746,N,48,4.0035,7.2,F,1,A,Active,3
MH747,1747,747,N,48,4.933,7.7,M,0,A,Active,3
MH748,1748,748,N,96,4.3495,7.7,F,1,A,Active,3
MH749,1749,749,N,48,4.4703,7.6,F,1,A,Active,3
MH750,1750,750,N,48,4.3667,7.3,M,0,A,Active,3
MH751,1751,751,N,96,4.2127,7.3,F,1,A,Active,3
MH752,1752,752,N,96,4.1249,7.2,F,1,A,Active,3
MH753,1753,753,N,24,4.2339,7.3,M,0,A,Active,3
MH754,1754,754,N,24,3.0507,7.2,F,1,A,Active,3
MH755,1755,755,N,48,3.6348,7.1,M,0,A,Active,3
MH756,1756,756,N,48,4.0006,7.4,M,0,A,Active,3
MH757,1757,757,N,48,3.7282,7.1,M,0,A,Active,3
MH758,1758,758,N,24,3.9315,7.4,F,1,A,Active,3
MH759,1759,759,N,48,3.9176,6.8,M,0,A,Active,3
MH760,1760,760,N,48,3.8583,7.2,M,0,A,Active,3
MH761,1761,761,N,96,3.9665,7.1,F,1,A,Active,3
MH762,1762,762,N,48,3.5634,6.9,F,1,A,Active,3
MH763,1763,763,N,24,3.6324,,F,1,A,Active,3
MH764,1764,764,N,48,4.1491,,M,0,A,Active,3
,,,,,,,,,,,
MH745,1745,745,RV 7,48,4.6958,7.7,M,0,A,Active,3
MH746,1746,746,RV 7,48,4.0035,7.2,F,1,A,Active,3
MH747,1747,747,RV 7,48,4.933,7.7,M,0,A,Active,3
MH748,1748,748,RV 7,96,4.3495,7.7,F,1,A,Active,3
MH749,1749,749,RV 7,48,4.4703,7.6,F,1,A,Active,3
MH750,1750,750,RV 7,48,4.3667,7.3,M,0,A,Active,3
MH751,1751,751,RV 7,96,4.2127,7.3,F,1,A,Active,3
MH752,1752,752,RV 7,96,4.1249,7.2,F,1,A,Active,3
MH753,1753,753,RV 7,24,4.2339,7.3,M,0,A,Active,3
MH754,1754,754,RV 7,24,3.0507,7.2,F,1,A,Active,3
MH755,1755,755,RV 7,48,3.6348,7.1,M,0,A,Active,3
MH756,1756,756,RV 7,48,4.0006,7.4,M,0,A,Active,3
MH757,1757,757,RV 7,48,3.7282,7.1,M,0,A,Active,3
MH758,1758,758,RV 7,24,3.9315,7.4,F,1,A,Active,3
MH759,1759,759,RV 7,48,3.9176,6.8,M,0,A,Active,3
MH760,1760,760,RV 7,48,3.8583,7.2,M,0,A,Active,3
MH761,1761,761,RV 7,96,3.9665,7.1,F,1,A,Active,3
MH762,1762,762,RV 7,48,3.5634,6.9,F,1,A,Active,3
MH763,1763,763,RV 7,24,3.6324,,F,1,A,Active,3
MH764,1764,764,RV 7,48,4.1491,,M,0,A,Active,3
,,,,,,,,,,,
MH745,1745,745,RV 7,48,4.3545,7.4,M,0,L,Lethargic,1
MH746,1746,746,RV 7,48,3.9272,7.1,F,1,L,Lethargic,1
MH747,1747,747,RV 7,48,3.5546,7,M,0,L,Lethargic,1
MH748,1748,748,RV 7,96,3.2568,6.7,F,1,L,Lethargic,1
MH749,1749,749,RV 7,48,4.3451,7.4,F,1,L,Lethargic,1
MH750,1750,750,RV 7,48,4.1891,7.1,M,0,L,Lethargic,1
MH751,1751,751,RV 7,96,4.0702,7.4,F,1,L,Lethargic,1
MH752,1752,752,RV 7,96,4.0092,7.2,F,1,L,Lethargic,1
MH753,1753,753,RV 7,24,4.4589,7,M,0,L,Lethargic,1
MH754,1754,754,RV 7,24,3.2136,6.2,F,1,L,Lethargic,1
MH755,1755,755,RV 7,48,3.8302,6.5,M,0,L,Lethargic,1
MH756,1756,756,RV 7,48,3.8428,7.2,M,0,L,Lethargic,1
MH757,1757,757,RV 7,48,3.4605,6.7,M,0,L,Lethargic,1
MH758,1758,758,RV 7,24,4.0348,6.7,F,1,L,Lethargic,1
MH759,1759,759,RV 7,48,3.9205,6.8,M,0,L,Lethargic,1
MH760,1760,760,RV 7,48,3.4013,6.4,M,0,L,Lethargic,1
MH761,1761,761,RV 7,96,3.6717,6.8,F,1,L,Lethargic,1
MH762,1762,762,RV 7,48,3.1387,6.7,F,1,L,Lethargic,1
MH763,1763,763,RV 7,24,3.9583,6.7,F,1,L,Lethargic,1
MH764,1764,764,RV 7,48,3.7274,6.8,M,0,L,Lethargic,1
,,,,,,,,,,,
MH745,1745,745,RV 7,48,5.3843,8.1,M,0,A,Active,3
MH746,1746,746,RV 7,48,4.7127,7.7,F,1,L,Lethargic,1
MH747,1747,747,RV 7,48,4.0131,8,M,0,A,Active,3
MH748,1748,748,RV 7,96,3.8552,,F,1,L,Lethargic,1
MH749,1749,749,RV 7,48,5.3291,,F,1,L,Lethargic,1
MH750,1750,750,RV 7,48,4.8125,7.7,M,0,L,Lethargic,1
MH751,1751,751,RV 7,96,4.7041,,F,1,L,Lethargic,1
MH752,1752,752,RV 7,96,4.7617,,F,1,L,Lethargic,1
MH755,1755,755,RV 7,48,4.3883,7.3,M,0,L,Lethargic,1
MH756,1756,756,RV 7,48,4.8809,7.3,M,0,L,Lethargic,1
MH757,1757,757,RV 7,48,4.4949,7.4,M,0,L,Lethargic,1
MH759,1759,759,RV 7,48,4.5712,7.4,M,0,L,Lethargic,1
MH760,1760,760,RV 7,48,4.3245,7.4,M,0,L,Lethargic,1
MH761,1761,761,RV 7,96,4.2268,7.4,F,1,L,Lethargic,1
MH762,1762,762,RV 7,48,4.61,,F,1,L,Lethargic,1
MH764,1764,764,RV 7,48,5.0266,8.2,M,0,L,Lethargic,1
,,,,#N/A,,,,,,,
MH765,1765,765,L/H,24 HR,3.9237,6.7,F,1,L,Lethargic,1
MH766,1766,766,L/H,24 HR,3.514,6.5,F,1,L,Lethargic,1
MH767,1767,767,L/H,24 HR,3.6751,6.7,F,1,L,Lethargic,1
MH768,1768,768,L/H,48 HR,3.4077,6.4,M,0,L,Lethargic,1
MH769,1769,769,L/H,48 HR,4.7972,7.6,F,1,A,Active,3
MH770,1770,770,L/H,48 HR,4.0492,7.1,F,1,A,Active,3
MH771,1771,771,L/H,48 HR,4.7151,7.3,F,1,L,Lethargic,1
MH772,1772,772,L/H,96 HR,6.1099,7.9,M,0,A,Active,3
MH773,1773,773,L/H,96 HR,6.0298,7.9,F,1,A,Active,3
MH774,1774,774,L/H,96 HR,4.8123,,F,1,L,Lethargic,1
MH775,1775,775,L/N,24 HR,3.8623,6.9,M,0,A,Active,3
MH776,1776,776,L/N,24 HR,4.4128,7.2,M,0,A,Active,3
MH777,1777,777,L/N,24 HR,3.6722,6.8,F,1,L,Lethargic,1
,,,,#N/A,,,,,,,
MH765,1765,765,L/H,24 HR,3.8942,6.4,F,1,A,Active,3
MH766,1766,766,L/H,24 HR,3.4524,6.3,F,1,A,Active,3
MH767,1767,767,L/H,24 HR,3.6495,6.5,F,1,L,Lethargic,1
MH768,1768,768,L/H,48 HR,2.6104,5.7,M,0,L,Lethargic,1
MH769,1769,769,L/H,48 HR,3.9904,6.8,F,1,L,Lethargic,1
MH770,1770,770,L/H,48 HR,3.3666,6.4,F,1,L,Lethargic,1
MH771,1771,771,L/H,48 HR,3.9874,6.7,F,1,L,Lethargic,1
MH772,1772,772,L/H,96 HR,3.8707,6.7,M,0,L,Lethargic,1
MH773,1773,773,L/H,96 HR,3.8914,6.6,F,1,L,Lethargic,1
MH774,1774,774,L/H,96 HR,2.9017,6.3,F,1,A,Active,3
MH775,1775,775,L/N,24 HR,4.0253,6.9,M,0,A,Active,3
MH776,1776,776,L/N,24 HR,4.3964,7.1,M,0,A,Active,3
MH777,1777,777,L/N,24 HR,3.6982,7,F,1,A,Active,3
,,,,#N/A,,,,,,,
MH772,1772,772,L/H,96 HR,4.4628,7.5,M,0,L,Lethargic,1
MH773,1773,773,L/H,96 HR,4.4087,7.1,F,1,A,Active,3
MH774,1774,774,L/H,96 HR,3.4358,6.6,F,1,L,Lethargic,1
,,,,#N/A,,,,,,,
MH780,1780,780,L/H,24 HR,2.697,6.5,M,0,L,Lethargic,1
MH781,1781,781,L/H,24 HR,2.5187,6.7,F,1,L,Lethargic,1
MH782,1782,782,L/H,24 HR,2.6179,6.4,F,1,L,Lethargic,1
MH783,1783,783,L/H,48 HR,3.4848,7.5,M,0,A,Active,3
MH784,1784,784,L/H,48 HR,2.4163,6.4,M,0,L,Lethargic,1
MH785,1785,785,L/H,48 HR,2.931,7.1,F,1,L,Lethargic,1
MH786,1786,786,L/H,48 HR,2.5929,6.8,F,1,L,Lethargic,1
MH787,1787,787,L/H,96 HR,4.6339,7.6,M,0,A,Active,3
MH788,1788,788,L/H,96 HR,2.0265,6.1,M,0,L,Lethargic,1
MH789,1789,789,L/H,96 HR,3.9018,7.1,F,1,A,Active,3
MH790,1790,790,L/H,96 HR,3.5127,7.1,F,1,A,Active,3
MH791,1791,791,L/H,24 HR,2.9504,7,M,0,A,Active,3
MH792,1792,792,L/H,24 HR,2.3774,6.5,F,1,L,Lethargic,1
MH793,1793,793,L/H,48 HR,2.9977,6.9,M,0,A,Active,3
MH794,1794,794,L/H,48 HR,3.3941,0.3,M,0,A,Active,3
MH795,1795,795,L/H,48 HR,3.0137,6.9,F,1,A,Active,3
MH796,1796,796,L/H,48 HR,3.4216,7.2,M,0,A,Active,3
MH797,1797,797,L/H,48 HR,2.7617,6.8,M,0,A,Active,3
MH798,1798,798,L/H,48 HR,3.846,7.2,M,0,A,Active,3
MH799,1799,799,L/H,96 HR,4.4549,7.4,M,0,A,Active,3
MH800,1800,800,L/H,96 HR,4.6453,7.7,F,1,A,Active,3
,,,,#N/A,,,,,,,
MH780,1780,780,L/H,24 HR,2.6523,6.3,M,0,L,Lethargic,1
MH781,1781,781,L/H,24 HR,2.476,6.1,F,1,L,Lethargic,1
MH782,1782,782,L/H,24 HR,2.5628,5.9,F,1,L,Lethargic,1
MH783,1783,783,L/H,48 HR,3.0954,6.4,M,0,L,Lethargic,1
MH784,1784,784,L/H,48 HR,2.2016,5.8,M,0,L,Lethargic,1
MH785,1785,785,L/H,48 HR,2.5795,6.4,F,1,L,Lethargic,1
MH786,1786,786,L/H,48 HR,2.2672,6.2,F,1,L,Lethargic,1
MH787,1787,787,L/H,96 HR,2.4505,6.3,M,0,L,Lethargic,1
MH788,1788,788,L/H,96 HR,1.662,5.4,M,0,L,Lethargic,1
MH789,1789,789,L/H,96 HR,2.2078,6.9,F,1,L,Lethargic,1
MH790,1790,790,L/H,96 HR,2.0808,5.8,F,1,L,Lethargic,1
MH791,1791,791,L/H,24 HR,2.9504,7,M,0,L,Lethargic,1
MH792,1792,792,L/H,24 HR,2.3774,6.5,F,1,L,Lethargic,1
